Order Date,Category,Item Name,Supplier,Quantity,Unit Cost,Total Cost
2023-02-27,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,12,24.11,289.33
2023-02-27,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,5,226.99,1134.94
2023-02-27,Electronics,Roku Express HD Streaming Media Player,ELC-001,10,18.79,187.86
2023-02-27,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-001,29,4.58,132.83
2023-02-27,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,30,3.27,98.01
2023-02-27,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,15,5.02,75.24
2023-03-06,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-001,18,93,1673.98
2023-03-06,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,18,7.58,136.52
2023-03-06,Textiles,Bath Towel Set (2-pack),TXT-003,15,8.71,130.66
2023-03-06,Textiles,Kids' Graphic Tee,TXT-001,31,2.67,82.91
2023-03-06,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,35,3.33,116.56
2023-03-06,Textiles,Men's Fleece Hoodie,TXT-002,22,11.16,245.61
2023-03-06,Textiles,Twin Size Sheet Set,TXT-002,26,10.25,266.51
2023-03-13,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,18,21.13,380.43
2023-03-13,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,5,263.27,1316.36
2023-03-13,Textiles,Kids' Graphic Tee,TXT-001,28,3.08,86.17
2023-03-13,Textiles,Men's Athletic Shorts,TXT-002,35,8.69,304.25
2023-03-13,Textiles,Men's Regular Fit Jeans,TXT-001,24,15.57,373.57
2023-03-20,Food,Coca-Cola Soda (12-pack Cans),FOD-001,26,5.78,150.37
2023-03-20,Food,Great Value Large Eggs (1 Dozen),FOD-002,25,2.71,67.84
2023-03-20,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-001,28,4.63,129.71
2023-03-20,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,33,1.32,43.43
2023-03-20,Food,Skippy Creamy Peanut Butter (40 oz),FOD-002,25,4.22,105.6
2023-03-20,Pharmaceuticals,Advil Tablets (100 ct),PRM-002,29,4.92,142.72
2023-03-20,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,10,18.94,189.45
2023-03-20,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,29,3.04,88.17
2023-03-20,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-002,21,5.5,115.4
2023-03-27,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-001,12,85.32,1023.82
2023-03-27,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-002,17,135.73,2307.33
2023-03-27,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,19,8.52,161.94
2023-03-27,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,6,35.14,210.87
2023-03-27,Food,Fresh Strawberries (1 lb),FOD-001,26,2.87,74.74
2023-03-27,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,29,4.48,130
2023-04-03,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-001,19,54.16,1029.12
2023-04-03,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,10,22.96,229.61
2023-04-03,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,5,7.49,37.43
2023-04-03,Food,Great Value Large Eggs (1 Dozen),FOD-002,36,2.6,93.73
2023-04-03,Food,Skippy Creamy Peanut Butter (40 oz),FOD-002,32,4.55,145.45
2023-04-03,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,20,3.7,73.9
2023-04-03,Textiles,Twin Size Sheet Set,TXT-001,29,10.66,309.13
2023-04-03,Textiles,Women's Skinny Jeans,TXT-003,17,15.15,257.48
2023-04-10,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-002,6,81.42,488.53
2023-04-10,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,15,63.96,959.41
2023-04-10,Electronics,Energizer Max AA Batteries (8-pack),ELC-001,9,5.89,53
2023-04-10,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,11,118.27,1300.99
2023-04-10,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,12,8.61,103.34
2023-04-10,Food,Bananas (by the pound),FOD-003,21,0.69,14.47
2023-04-10,Food,Great Value Large Eggs (1 Dozen),FOD-003,22,2.63,57.84
2023-04-10,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,34,1.31,44.62
2023-04-10,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,30,3.41,102.24
2023-04-10,Food,Skippy Creamy Peanut Butter (40 oz),FOD-002,29,4.47,129.74
2023-04-10,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-002,24,3,71.97
2023-04-10,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,17,14.15,240.56
2023-04-10,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,27,5.84,157.63
2023-04-10,Textiles,Bath Towel Set (2-pack),TXT-003,24,8.2,196.86
2023-04-10,Textiles,Kids' Graphic Tee,TXT-001,28,2.69,75.39
2023-04-10,Textiles,Men's Fleece Hoodie,TXT-001,20,12.65,252.92
2023-04-17,Food,Coca-Cola Soda (12-pack Cans),FOD-003,20,5.08,101.5
2023-04-17,Food,Fresh Strawberries (1 lb),FOD-001,29,2.88,83.52
2023-04-17,Food,"Great Value Milk (1 Gallon, 2%)",FOD-002,30,3.43,102.82
2023-04-17,Food,Skippy Creamy Peanut Butter (40 oz),FOD-002,29,4.28,124.09
2023-04-17,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,29,17.04,494.1
2023-04-17,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-001,24,4.61,110.71
2023-04-17,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-002,16,3.18,50.88
2023-04-17,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,16,5.4,86.43
2023-04-17,Textiles,Bath Towel Set (2-pack),TXT-001,33,8.37,276.13
2023-04-17,Textiles,Men's Fleece Hoodie,TXT-001,21,12.27,257.65
2023-04-17,Textiles,Twin Size Sheet Set,TXT-001,30,10.45,313.44
2023-04-17,Textiles,Women's Skinny Jeans,TXT-003,28,14.82,414.84
2023-04-24,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-001,14,61.42,859.91
2023-04-24,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,20,268.85,5377.05
2023-04-24,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,6,7.63,45.81
2023-04-24,Food,Coca-Cola Soda (12-pack Cans),FOD-001,31,5.81,180.22
2023-04-24,Food,Fresh Strawberries (1 lb),FOD-001,22,2.97,65.26
2023-04-24,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,35,3.78,132.42
2023-04-24,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,26,8.23,213.93
2023-04-24,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,26,17.28,449.22
2023-04-24,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,10,4.65,46.46
2023-04-24,Pharmaceuticals,CVS Health Ibuprofen (200 mg - 100 ct),PRM-003,12,3.28,39.38
2023-04-24,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-003,27,6.04,163.16
2023-04-24,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-002,28,8.3,232.31
2023-04-24,Textiles,Kids' Graphic Tee,TXT-003,25,3.04,75.91
2023-04-24,Textiles,Men's Regular Fit Jeans,TXT-002,30,15.89,476.75
2023-05-01,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-001,13,54.45,707.86
2023-05-01,Electronics,Energizer Max AA Batteries (8-pack),ELC-002,8,5.25,42
2023-05-01,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-002,11,22.19,244.06
2023-05-01,Food,Coca-Cola Soda (12-pack Cans),FOD-001,20,5.47,109.36
2023-05-01,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,29,1.28,37.07
2023-05-01,Food,Lay's Classic Potato Chips (Large Bag),FOD-002,37,3.46,128.04
2023-05-01,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,23,8.3,190.95
2023-05-01,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,10,5.28,52.81
2023-05-01,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,30,4.85,145.59
2023-05-01,Textiles,Kids' Graphic Tee,TXT-003,27,2.92,78.83
2023-05-01,Textiles,Men's Fleece Hoodie,TXT-001,21,12.54,263.32
2023-05-01,Textiles,Twin Size Sheet Set,TXT-001,34,10.74,365.29
2023-05-01,Textiles,Women's V-Neck T-Shirt,TXT-002,15,3.08,46.19
2023-05-08,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,17,80.43,1367.32
2023-05-08,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,7,8.47,59.28
2023-05-08,Food,Fresh Strawberries (1 lb),FOD-002,22,2.9,63.9
2023-05-08,Food,Great Value Large Eggs (1 Dozen),FOD-003,37,2.6,96.09
2023-05-08,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-003,33,1.27,41.8
2023-05-08,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,25,16.61,415.16
2023-05-08,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,24,4.79,114.91
2023-05-08,Pharmaceuticals,Colgate Total Toothpaste (6 oz),PRM-003,21,3.06,64.32
2023-05-08,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,24,8.55,205.28
2023-05-08,Textiles,Kids' Graphic Tee,TXT-001,32,2.56,82.05
2023-05-08,Textiles,Men's Athletic Shorts,TXT-003,30,7.57,227.12
2023-05-08,Textiles,Men's Fleece Hoodie,TXT-002,18,11.89,214.08
2023-05-08,Textiles,Queen Size Comforter,TXT-003,33,23.16,764.25
2023-05-08,Textiles,Twin Size Sheet Set,TXT-001,19,10.72,203.72
2023-05-15,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,9,84.57,761.13
2023-05-15,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,18,135.66,2441.93
2023-05-15,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-003,14,8.11,113.57
2023-05-15,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,7,35.58,249.05
2023-05-15,Food,Fresh Strawberries (1 lb),FOD-001,27,2.96,79.89
2023-05-15,Food,"Great Value Milk (1 Gallon, 2%)",FOD-002,23,3.75,86.32
2023-05-15,Pharmaceuticals,Advil Tablets (100 ct),PRM-002,12,4.91,58.88
2023-05-15,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-001,28,4.86,136.16
2023-05-15,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,20,4.79,95.89
2023-05-15,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-002,14,8.26,115.6
2023-05-15,Textiles,Men's Athletic Shorts,TXT-002,33,8.15,269.07
2023-05-15,Textiles,Queen Size Comforter,TXT-003,32,22.99,735.62
2023-05-22,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,16,72.89,1166.21
2023-05-22,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-002,13,21.61,280.9
2023-05-22,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,7,120.69,844.86
2023-05-22,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,20,8.55,171.1
2023-05-22,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,6,38.35,230.09
2023-05-22,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,29,16.85,488.57
2023-05-22,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-002,24,5.18,124.27
2023-05-22,Pharmaceuticals,Neosporin Original Ointment (1 oz),PRM-002,14,6.17,86.39
2023-05-22,Textiles,Bath Towel Set (2-pack),TXT-003,28,7.45,208.51
2023-05-22,Textiles,Men's Athletic Shorts,TXT-002,32,7.82,250.09
2023-05-22,Textiles,Men's Regular Fit Jeans,TXT-001,19,13.53,257.16
2023-05-22,Textiles,Twin Size Sheet Set,TXT-001,20,9.95,198.99
2023-05-29,Food,Fresh Strawberries (1 lb),FOD-001,35,3.08,107.74
2023-05-29,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,40,8.57,342.67
2023-06-05,Electronics,Canon Pixma MG2522 All-in-One Printer,ELC-003,5,61.85,309.24
2023-06-05,Electronics,Energizer Max AA Batteries (8-pack),ELC-001,13,5.25,68.29
2023-06-05,Food,Great Value Large Eggs (1 Dozen),FOD-003,27,2.49,67.3
2023-06-05,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,39,1.36,52.98
2023-06-05,Food,Skippy Creamy Peanut Butter (40 oz),FOD-002,30,4.94,148.07
2023-06-05,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,28,16.81,470.64
2023-06-05,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,28,14.28,399.88
2023-06-05,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-002,19,7.98,151.54
2023-06-05,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-001,19,5.84,110.96
2023-06-05,Textiles,Bath Towel Set (2-pack),TXT-003,33,8.37,276.35
2023-06-05,Textiles,Men's Fleece Hoodie,TXT-001,30,11.89,356.69
2023-06-12,Electronics,Energizer Max AA Batteries (8-pack),ELC-002,19,5.8,110.21
2023-06-12,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-002,13,22.68,294.83
2023-06-12,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-001,11,85.34,938.73
2023-06-12,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,15,8.08,121.14
2023-06-12,Food,"Great Value Milk (1 Gallon, 2%)",FOD-001,36,3.22,116.02
2023-06-12,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,31,4.01,124.36
2023-06-12,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-003,24,17.58,421.81
2023-06-12,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,26,4.66,121.28
2023-06-12,Pharmaceuticals,"Bayer Aspirin (325 mg, 100 ct)",PRM-001,13,5.2,67.61
2023-06-12,Pharmaceuticals,Tylenol Extra Strength Caplets (100 ct),PRM-002,23,5.62,129.3
2023-06-12,Textiles,Men's Athletic Shorts,TXT-003,16,8.23,131.64
2023-06-12,Textiles,Men's Fleece Hoodie,TXT-002,30,11.52,345.7
2023-06-12,Textiles,Men's Regular Fit Jeans,TXT-001,16,14,224.04
2023-06-12,Textiles,Queen Size Comforter,TXT-002,27,25.92,699.77
2023-06-12,Textiles,Twin Size Sheet Set,TXT-001,21,10.16,213.27
2023-06-19,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-003,10,78.06,780.61
2023-06-19,Electronics,Energizer Max AA Batteries (8-pack),ELC-001,17,5.38,91.42
2023-06-19,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,13,272.78,3546.14
2023-06-19,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,11,86.88,955.63
2023-06-19,Food,Bananas (by the pound),FOD-003,24,0.77,18.55
2023-06-19,Food,Kellogg's Frosted Flakes Cereal (23 oz),FOD-003,34,3.84,130.59
2023-06-19,Food,Kraft Macaroni & Cheese (7.25 oz Box),FOD-002,21,1.14,24.01
2023-06-19,Food,Lay's Classic Potato Chips (Large Bag),FOD-001,21,3.62,75.92
2023-06-19,Food,Tyson Boneless Skinless Chicken Breasts (2.5 lbs),FOD-001,34,8.87,301.45
2023-06-19,Pharmaceuticals,Advil Tablets (100 ct),PRM-003,24,5.37,128.81
2023-06-19,Pharmaceuticals,Allegra 24 Hour Allergy (60 ct),PRM-001,30,17.83,534.97
2023-06-19,Pharmaceuticals,Flonase Allergy Relief (120 sprays),PRM-003,23,15.58,358.26
2023-06-19,Textiles,Men's Athletic Shorts,TXT-002,34,8.22,279.51
2023-06-19,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,34,3.61,122.73
2023-06-19,Textiles,Women's V-Neck T-Shirt,TXT-002,17,3.43,58.28
2023-06-26,Electronics,Energizer Max AA Batteries (8-pack),ELC-002,11,5.1,56.14
2023-06-26,Electronics,Google Nest Mini (2nd Gen) Smart Speaker,ELC-003,20,22.15,442.99
2023-06-26,Electronics,Roku Express HD Streaming Media Player,ELC-001,20,19.55,390.91
2023-06-26,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,5,8.35,41.76
2023-06-26,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-003,20,32.09,641.88
2023-06-26,Pharmaceuticals,"Band-Aid Brand Adhesive Bandages (Assorted, 100 ct)",PRM-003,30,4.23,126.98
2023-06-26,Pharmaceuticals,NyQuil Cold & Flu Liquid (12 oz),PRM-003,12,8.55,102.55
2023-06-26,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,32,3.31,105.86
2023-06-26,Textiles,Men's Regular Fit Jeans,TXT-002,25,15.55,388.64
2023-06-26,Textiles,Queen Size Comforter,TXT-003,30,23.11,693.18
2023-06-26,Textiles,Twin Size Sheet Set,TXT-002,27,10.69,288.58
2023-07-03,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-002,6,237.13,1422.8
2023-07-03,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-001,20,87.62,1752.3
2023-07-03,Electronics,Roku Express HD Streaming Media Player,ELC-001,14,21.27,297.81
2023-07-03,Electronics,SanDisk 64GB Cruzer Glide USB 2.0 Flash Drive,ELC-001,19,8.18,155.38
2023-07-03,Electronics,Sony WH-CH520 Wireless On-Ear Headphones,ELC-001,5,32.71,163.53
2023-07-03,Textiles,Men's Basic Crewneck T-Shirt,TXT-001,25,3.7,92.54
2023-07-03,Textiles,Men's Fleece Hoodie,TXT-001,27,11.08,299.26
2023-07-10,Electronics,Apple AirPods (2nd Gen) with Charging Case,ELC-002,6,80.47,482.82
2023-07-10,Electronics,"HP 15.6"" Laptop (Intel Core i3, 8GB RAM, 256GB SSD)",ELC-001,18,233.4,4201.25
2023-07-10,Electronics,JBL Flip 6 Portable Bluetooth Speaker,ELC-003,7,78.55,549.87
2023-07-10,Electronics,"Samsung Galaxy Tab A8 10.5"" Tablet (32GB)",ELC-003,10,128.41,1284.05
