"Item Name","Suppliers"
"SanDisk Ultra 128GB microSDXC Card","ELC-001,ELC-002"
"Anker PowerCore III Sense 10K Portable Charger","ELC-002,ELC-003"
"Philips Sonicare ProtectiveClean 4100 Electric Toothbrush","ELC-001,ELC-003"
"Samsung Galaxy Watch 4 (40mm)","ELC-001,ELC-002"
"Fitbit Inspire 3 Fitness Tracker","ELC-002,ELC-003"
"Netgear Nighthawk R6700 Wi-Fi Router","ELC-001,ELC-003"
"HP DeskJet 2755e All-in-One Printer","ELC-001,ELC-002"
"Canon EOS Rebel T7 DSLR Camera Kit","ELC-002,ELC-003"
"GoPro HERO11 Black Camera","ELC-001,ELC-003"
"Acer Nitro 5 15.6" Gaming Laptop","ELC-001,ELC-002"
"CyberPowerPC Gamer Master Gaming Desktop","ELC-002,ELC-003"
"Dell Inspiron 24 All-in-One PC","ELC-001,ELC-003"
"Epson EcoTank ET-2800 Wireless Color Printer","ELC-001,ELC-002"
"JBL Tune 710BT Wireless Over-Ear Headphones","ELC-002,ELC-003"
"Bose QuietComfort Earbuds II","ELC-001,ELC-003"
"Logitech C920s HD Pro Webcam","ELC-001,ELC-002"
"Acer SB220Q Bi 21.5" IPS Monitor","ELC-002,ELC-003"
"onn. 3.1 Channel Soundbar with Wireless Subwoofer","ELC-001,ELC-003"
"Turtle Beach Recon 70 Gaming Headset","ELC-001,ELC-002"
"RCA 32" Class 720P HD LED TV","ELC-002,ELC-003"
"Victrola Journey+ Bluetooth Record Player","ELC-001,ELC-003"
"Fujifilm Instax Mini 12 Instant Camera","ELC-001,ELC-002"
"Ring Stick Up Cam Battery","ELC-002,ELC-003"
"Google Nest Hub (2nd Gen) Smart Display","ELC-001,ELC-003"
"TP-Link Deco X20 Mesh Wi-Fi System (2-pack)","ELC-001,ELC-002"
"Mr. Coffee 5-Cup Programmable Coffee Maker","ELC-002,ELC-003"
"Ninja Foodi Smart XL 6-in-1 Indoor Grill","ELC-001,ELC-003"
"Apple Watch SE (2nd Gen)","ELC-001,ELC-002"
"Garmin Forerunner 55 Running Watch","ELC-002,ELC-003"
"Bose SoundLink Flex Bluetooth Speaker","ELC-001,ELC-003"
"Skullcandy Sesh Evo True Wireless Earbuds","ELC-001,ELC-002"
"Amazon Fire HD 8 Tablet (32GB)","ELC-002,ELC-003"
"Acer Aspire 3 15.6" Laptop","ELC-001,ELC-003"
"Brother MFC-J4335DW Wireless All-in-One Printer","ELC-001,ELC-002"
"WD My Passport 2TB Portable Hard Drive","ELC-002,ELC-003"
"Sony SRS-XB100 Wireless Speaker","ELC-001,ELC-003"
"Samsung T7 Portable SSD 1TB","ELC-001,ELC-002"
"Xbox Game Pass Ultimate (3 Month Code)","ELC-002,ELC-003"
"PlayStation Store Gift Card ($25)","ELC-001,ELC-003"
"Nintendo eShop Gift Card ($20)","ELC-001,ELC-002"
"Logitech H390 USB Headset","ELC-002,ELC-003"
"RCA 2-Device Universal Remote Control","ELC-001,ELC-003"
"GE LED Smart Bulb (Soft White)","ELC-001,ELC-002"
"TP-Link TL-WR841N Wireless N Router","ELC-002,ELC-003"
"Anker Powerline+ II USB-C to Lightning Cable (6ft)","ELC-001,ELC-003"
"Philips AA Batteries (12-pack)","ELC-001,ELC-002"
"onn. HDMI Cable (6ft)","ELC-002,ELC-003"
"Duracell CopperTop AAA Batteries (12-pack)","ELC-001,ELC-003"
"SanDisk Extreme Portable SSD 1TB","ELC-001,ELC-002"
"TP-Link Kasa Smart Wi-Fi Power Strip","ELC-002,ELC-003"
"Google Nest Doorbell (Battery)","ELC-001,ELC-003"
"Samsung Galaxy A14 5G (Prepaid, T-Mobile)","ELC-001,ELC-002"
"TracFone Motorola Moto g Play (2023) Prepaid","ELC-002,ELC-003"
"Straight Talk iPhone SE (3rd Gen) Prepaid","ELC-001,ELC-003"
"OtterBox Commuter Series Case for iPhone","ELC-001,ELC-002"
"PopSockets PopGrip for Phones","ELC-002,ELC-003"
"JBL Tune 230NC TWS Noise Cancelling Earbuds","ELC-001,ELC-003"
"Bose QuietComfort 45 Headphones","ELC-001,ELC-002"
"Skullcandy Crusher Evo Wireless Headphones","ELC-002,ELC-003"
"Canon PIXMA TS3522 Wireless All-in-One Printer","ELC-001,ELC-003"
"HP Envy 6055e All-in-One Printer","ELC-001,ELC-002"
"Logitech MK270 Wireless Keyboard and Mouse Combo","ELC-002,ELC-003"
"Razer DeathAdder Essential Gaming Mouse","ELC-001,ELC-003"
"Corsair HS35 Stereo Gaming Headset","ELC-001,ELC-002"
"Sony PlayStation VR2 Headset","ELC-002,ELC-003"
"Meta Quest 2 VR Headset (128GB)","ELC-001,ELC-003"
"Amazon Fire TV Stick 4K Max","ELC-001,ELC-002"
"onn. Universal TV Remote Control","ELC-002,ELC-003"
"Sterilite 3-Drawer Cart (White)","ELC-001,ELC-003"
