"Item Name","Suppliers"
"Crisco Pure Vegetable Oil (48 oz)","FOD-001,FOD-003"
"Diamond Crystal Salt (26 oz)","FOD-001,FOD-002"
"McCormick Ground Black Pepper (4 oz)","FOD-002,FOD-003"
"Kraft Shredded Parmesan Cheese (8 oz)","FOD-001,FOD-003"
"Red Baron Classic Crust Pepperoni Pizza (Large)","FOD-001,FOD-002"
"Tombstone Original Pepperoni Pizza (Large)","FOD-002,FOD-003"
"ORE-IDA Golden Crinkles Fries (32 oz)","FOD-001,FOD-003"
"Pillsbury Toaster Strudel (Strawberry, 6 ct)","FOD-001,FOD-002"
"Eggo Homestyle Waffles (10 ct)","FOD-002,FOD-003"
"Jimmy Dean Sausage, Egg & Cheese Croissant (4 ct)","FOD-001,FOD-003"
"Hot Pockets Croissant Crust Ham & Cheese (5 ct)","FOD-001,FOD-002"
"Lean Cuisine Macaroni & Cheese (9.5 oz)","FOD-002,FOD-003"
"Red Baron Singles Deep Dish Pepperoni Pizza (2 ct)","FOD-001,FOD-003"
"Totino's Party Pizza Pepperoni (10.2 oz)","FOD-001,FOD-002"
"Jack's Original Pepperoni Pizza (14.5 oz)","FOD-002,FOD-003"
"TGI Fridays Mozzarella Sticks (11 oz)","FOD-001,FOD-003"
"Ore-Ida Extra Crispy Tater Tots (32 oz)","FOD-001,FOD-002"
"Birds Eye Steamfresh Green Beans (10.8 oz)","FOD-002,FOD-003"
"Smart Ones Smart Made Turkey with Stuffing (9.5 oz)","FOD-001,FOD-003"
"Weight Watchers Smart Ones Frozen Entree (Assorted)","FOD-001,FOD-002"
"Edy's Slow Churned Vanilla Ice Cream (48 oz)","FOD-002,FOD-003"
"Halo Top Light Ice Cream (Pint)","FOD-001,FOD-003"
"Popsicle Firecracker Ice Pops (18 ct)","FOD-001,FOD-002"
"Cool Whip Whipped Topping (8 oz)","FOD-002,FOD-003"
"Pillsbury Pie Crusts (2 ct)","FOD-001,FOD-003"
"Simply Potatoes Shredded Hash Browns (20 oz)","FOD-001,FOD-002"
"Johnsonville Bratwurst (5 ct)","FOD-002,FOD-003"
"Eckrich Smoked Sausage (14 oz)","FOD-001,FOD-003"
"Hormel Pepperoni (6 oz)","FOD-001,FOD-002"
